date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:12:52	93/93	---M-Z	200	added ('OK')	text/plain	date:Thu,%2004%20Sep%202025%2004:12:52%20GMT	https://mohs0025.myportfolio.com/robots.txt		(from )
00:12:52	11964/11964	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2004:12:52%20GMT	https://mohs0025.myportfolio.com/	D:/sites/test/mohs0025.myportfolio.com/index.html	(from )
00:12:53	20584/20584	---M--	200	added ('OK')	image/png	etag:3b9f40756d67360183d0b1d555676a0b	https://cdn.myportfolio.com/74aaa573-b028-4ea9-82af-e181d3d000e1/ca032983-bc85-47f0-a2e7-e356468b5f22_rw_600.png?h=6bf1a92122bcb718e704f49b8645cf55	D:/sites/test/cdn.myportfolio.com/74aaa573-b028-4ea9-82af-e181d3d000e1/ca032983-bc85-47f0-a2e7-e356468b5f22_rw_600a898.png	(from https://mohs0025.myportfolio.com/)
00:12:53	3334/3334	---M--	200	added ('OK')	image/png	etag:93684cfff3935bb203e49d9524d1dc23	https://cdn.myportfolio.com/74aaa573-b028-4ea9-82af-e181d3d000e1/71302f41-cc75-4bde-b513-5c9567deb4d8_carw_1x1x32.png?h=6367ef495a2fcb7c4a24e86fc6d47649	D:/sites/test/cdn.myportfolio.com/74aaa573-b028-4ea9-82af-e181d3d000e1/71302f41-cc75-4bde-b513-5c9567deb4d8_carw_1x1x32055a.png	(from https://mohs0025.myportfolio.com/)
00:12:53	11553/11553	---M-Z	200	added ('OK')	text/css	etag:%2268b70d4a-2d21%22	https://mohs0025.myportfolio.com/dist/css/main.css	D:/sites/test/mohs0025.myportfolio.com/dist/css/main.css	(from https://mohs0025.myportfolio.com/)
00:12:54	80565/80565	---M--	200	added ('OK')	text/css	etag:9c3ee4c8b931fcf9a0564c09be6fc659	https://cdn.myportfolio.com/74aaa573-b028-4ea9-82af-e181d3d000e1/52232b04eeb873ee0b3809455ee4f5c11753243330.css?h=daf71035b93b8a48a7b6d9aa8c4e3cb2	D:/sites/test/cdn.myportfolio.com/74aaa573-b028-4ea9-82af-e181d3d000e1/52232b04eeb873ee0b3809455ee4f5c117532433305fdc.css	(from https://mohs0025.myportfolio.com/)
00:12:54	11964/11964	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2004:12:54%20GMT	https://mohs0025.myportfolio.com/first-page	D:/sites/test/mohs0025.myportfolio.com/first-page.html	(from https://mohs0025.myportfolio.com/)
00:12:54	12715/12715	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2004:12:54%20GMT	https://mohs0025.myportfolio.com/about-me	D:/sites/test/mohs0025.myportfolio.com/about-me.html	(from https://mohs0025.myportfolio.com/)
00:12:54	24134/24134	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2004:12:54%20GMT	https://mohs0025.myportfolio.com/book-design	D:/sites/test/mohs0025.myportfolio.com/book-design.html	(from https://mohs0025.myportfolio.com/)
00:12:54	24519/24519	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2004:12:54%20GMT	https://mohs0025.myportfolio.com/web-design-development	D:/sites/test/mohs0025.myportfolio.com/web-design-development.html	(from https://mohs0025.myportfolio.com/)
00:12:55	16216/16216	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2004:12:54%20GMT	https://mohs0025.myportfolio.com/ui-ux-design-moodboards	D:/sites/test/mohs0025.myportfolio.com/ui-ux-design-moodboards.html	(from https://mohs0025.myportfolio.com/)
00:12:56	12133/12133	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2004:12:55%20GMT	https://mohs0025.myportfolio.com/contact	D:/sites/test/mohs0025.myportfolio.com/contact.html	(from https://mohs0025.myportfolio.com/)
00:12:56	18897/18897	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2004%20Sep%202025%2004:12:55%20GMT	http://use.typekit.net/ik/Qqe49HsKRIPYMYkb3t1PlBFKV86meKUeDIYdFVB2gBIfenGgfHYEBsJzwD9oFDIDWD9uwcFcjQZ8jhIa5Q6awQgKFRmRZ2gRFR9tFhjkjc9DwhjtFRsRFR6-MfJIjhUKpPJIZ1s0-kJIpAs7ifGHfHzbMsMMeMb6MKGHfH1bMsMMeMj6MKGHfHdbMsMMeMS6MKG4fJsmIMIjgfMfH6qJ6m9bMs6YJMJ7f6KbC6JbMy65JMJ7f6KVC6JbMy6sJMJ7f6KQC6JbMy6IJMJ7f6K5C6JbMy6YJMHbMZO1UOGe.js?cb=fc7e33c3e14135a26cb1827c0cddbbac026c09cf	D:/sites/test/use.typekit.net/ik/Qqe49HsKRIPYMYkb3t1PlBFKV86meKUeDIYdFVB2gBIfenGgfHYEBsJzwD9oFDIDWD9uwcFcjQZ8jhIa5Q6awQgKFRmRZ2gRFR9tFhjkjc9DwhjtFRsRFR6-MfJIjhUKpPJIZ1s0-kJIpAs7ifGHfHzbMsMMeMb6MKGHfH1bMsMMeMj6MKGHfHdbMsMMeMS6MKG4fJsmIMI	(from https://mohs0025.myportfolio.com/)
00:12:56	16766/16766	---M--	200	added ('OK')	image/png	etag:fbff7ca55db5899ee1214061f862ba67	https://cdn.myportfolio.com/74aaa573-b028-4ea9-82af-e181d3d000e1/ca032983-bc85-47f0-a2e7-e356468b5f22.png?h=54811d8052c51a510e2d637d386c820c	D:/sites/test/cdn.myportfolio.com/74aaa573-b028-4ea9-82af-e181d3d000e1/ca032983-bc85-47f0-a2e7-e356468b5f22c0d2.png	(from https://mohs0025.myportfolio.com/)
00:12:56	15774/15774	---M--	200	added ('OK')	image/png	etag:ee7c755ac9adf0cb89d63a353ed97e4a	https://cdn.myportfolio.com/74aaa573-b028-4ea9-82af-e181d3d000e1/ca032983-bc85-47f0-a2e7-e356468b5f22_rw_1200.png?h=f693d7c1daab4b3a040c4e89b5aa964f	D:/sites/test/cdn.myportfolio.com/74aaa573-b028-4ea9-82af-e181d3d000e1/ca032983-bc85-47f0-a2e7-e356468b5f22_rw_1200e67b.png	(from https://mohs0025.myportfolio.com/)
00:12:56	141/141	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2004%20Sep%202025%2004:12:56%20GMT	https://mohs0025.myportfolio.com/site/translations?cb=fc7e33c3e14135a26cb1827c0cddbbac026c09cf	D:/sites/test/mohs0025.myportfolio.com/site/translations0ac6	(from https://mohs0025.myportfolio.com/)
00:12:57	354733/354733	---M-Z	200	added ('OK')	application/javascript	etag:%2268b70d4a-569ad%22	https://mohs0025.myportfolio.com/dist/js/main.js?cb=fc7e33c3e14135a26cb1827c0cddbbac026c09cf	D:/sites/test/mohs0025.myportfolio.com/dist/js/main0ac6.js	(from https://mohs0025.myportfolio.com/)
00:12:57	75215/75215	---M--	200	added ('OK')	text/css	etag:022052ea09324c30b4b9bbbeb7a3826b	https://cdn.myportfolio.com/74aaa573-b028-4ea9-82af-e181d3d000e1/4d56504e19a908940f5862410bf6f7f71753243330.css?h=ea9039913bd355731f36dcf7efad6704	D:/sites/test/cdn.myportfolio.com/74aaa573-b028-4ea9-82af-e181d3d000e1/4d56504e19a908940f5862410bf6f7f717532433301a97.css	(from https://mohs0025.myportfolio.com/about-me)
